,,,,,,,,,,,,,,,,,,,,
,,Final Perfumes Prices and Category List,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,Sr. #,Perfume Oil,Brand,Supplier,Category,Season,Time,Notes Details,,,Price of 100 Gram Oil,"Attar Price 
(1 Tola)","Box Price 
(1 Tola)","Bottle Price
(1 Tola)",PrintingCost,Flyer Cost,Delivery Charges,"Total Cost 
(1 Tola)",Selling Price
,,,,,,,,,Top Note,Heart Note,Base Notes,,,,,,,,,
,,  50 ,LE MALE ELIXIR ABSOLU BY JEAN PAUL GAULTIER,J.P.G,TRS Chem,Men,Winter & Autumn,Evening / Night,"Plum, Cinnamon, Cardamom, and Bergamot","Lavender, Davana, and Artemisia","Tonka Bean, Benzoin, Ambrette (Musk), and Patchouli",3000,360,150,120,2,10,250,892,1392
,,  51 ,MAJESTIC OUD (CREATON),,Sensula,,,,,,,3000,360,150,120,2,10,250,892,1392
,,  52 ,NO-4 APRES L'AMOUR BY THOMAS KOSMALA,THOMAS KOSMALA,Sensula,Unisex,All Seasons,Evening / Night,Bitter Orange Blossom and Lemon Zest,Aromatic Spices,"Musk, Amber, and Dry Woody Notes",3000,360,150,120,2,10,250,892,1392
,,  53 ,POLO GREEN BY RALPH LAUREN, RALPH LAUREN,Hussaini,Men,Winter & Autumn,Evening / Night,"Pine Accord, Basil, Juniper Berries, and Artemisia","Leather, Tobacco Leaf, Patchouli, and Jasmine","Oakmoss, Cedar, Vetiver, and Amber",3000,360,150,120,2,10,250,892,1392
,,  54 ,Y LE PARFUM 2025 BY YVES SAINT LAURENT,YVES SAINT LAURENT,Farhan,Men,All Seasons,DAY & NIGHT,Ginger and Bergamot,"Pine Needles, Balsam Fir, and Geranium",Amber and Patchouli,3000,360,150,120,2,10,250,892,1392
,,  55 ,ACQUA DI GIO PROFONDO PARFUM (ARMANI),GIORGIO ARMANI,TRS Chem,Men,Spring & Summer,Day Time,"Marine Notes, Aquozone, Green Mandarin, Bergamot","Rosemary, Lavendor, Cypress, Mastic (Lentisque)","Mineral Notes, Musk, Patchouli, Amber",2950,354,150,120,2,10,250,886,1386
,,  56 ,MARJ BY AHMED AL MAGHRIBI,AHMED AL MAGHRIBI,TRS Chem,Unisex,"Spring, Winter &  Autumn",Evening / Night,"Oud, Honey, Pink Pepper, Elemi, Nutmeg, Bergamot, and Mandarin","Cashmere Wood, Saffron, Orange Blossom, Jasmine, Patchouli, Cinnamon, and Vetiver","Agarwood (Oud), Ambergris, Leather, Oakmoss, Sandalwood, Musk, Raspberry, Violet, and Pear",2950,354,150,120,2,10,250,886,1386
,,  57 ,OUD MARACUJA BY MAISON CRIVELLI,MAISON CRIVELLI,TRS Chem,Women,Winter & Autumn,DAY & NIGHT,"Passion Fruit, Saffron, Turkish Rose, and Fruity Notes","Agarwood (Oud), Indonesian Patchouli, and Benzoin","Leather, Akigalawood, Amber, Labdanum, and Vanilla",2950,354,150,120,2,10,250,886,1386
,,  58 ,GRIS BY CHRISTIAN DIOR,DIOR,Sensula,Unisex,All Seasons,DAY & NIGHT,Bergamot and Grapefruit,Grasse Rose and Jasmine,"Oakmoss, Patchouli, Amber, Cedar, and Sandalwood",2900,348,150,120,2,10,250,880,1380
,,  59 ,ZARAR ORIGINAL BY J. ,J.,Farhan,Men,All Seasons,DAY & NIGHT,"Pineapple, Bergamot, Blackcurrant, and Red Apple","Birch, Patchouli, Jasmine, and Rose","Oakmoss, Amber, Musk, and Creamy Vanilla",2900,348,150,120,2,10,250,880,1380
,,60,JIMMY CHOO MEN BY JIMMY CHOO,JIMMY CHOO,TRS Chem,Men,Spring & Summer,Day Time,"Honeydew Melon, Lavender, and Mandarin Orange","Pink Pepper, Geranium, and Pineapple Leaf","Suede, Patchouli, and Ambery Woods",2900,348,150,120,2,10,250,880,1380
,,61,RAGHBA BY LATAFFA,LATAFFA,TRS Chem,Unisex,Winter & Autumn,Evening / Night,Sugar and Vanilla,Incense and Oud,"Sandalwood, Musk, and Amber",2900,348,150,120,2,10,250,880,1380
,,62,WHITE OUD TOP SELLING,,Sensula,,,,,,,2900,348,150,120,2,10,250,880,1380
